"","Date","Primary.Fur.Color","Running","Climbing","Eating","Foraging","Number"
"298",2018-10-18,"Gray",TRUE,FALSE,FALSE,FALSE,33
"299",2018-10-18,"Gray",TRUE,FALSE,FALSE,TRUE,4
"300",2018-10-18,"Gray",TRUE,FALSE,TRUE,FALSE,2
"301",2018-10-18,"Gray",TRUE,FALSE,TRUE,TRUE,2
"302",2018-10-18,"Gray",TRUE,TRUE,FALSE,FALSE,7
"303",2018-10-18,"Unknown",FALSE,FALSE,FALSE,FALSE,1
"304",2018-10-19,"Black",FALSE,FALSE,FALSE,FALSE,1
"305",2018-10-19,"Black",FALSE,FALSE,FALSE,TRUE,2
"306",2018-10-19,"Black",FALSE,TRUE,FALSE,FALSE,1
"307",2018-10-19,"Black",TRUE,FALSE,FALSE,TRUE,1
"308",2018-10-19,"Cinnamon",FALSE,FALSE,FALSE,FALSE,1
"309",2018-10-19,"Cinnamon",FALSE,FALSE,FALSE,TRUE,2
"310",2018-10-19,"Cinnamon",FALSE,FALSE,TRUE,FALSE,1
"311",2018-10-19,"Cinnamon",FALSE,FALSE,TRUE,TRUE,2
"312",2018-10-19,"Cinnamon",FALSE,TRUE,FALSE,FALSE,1
"313",2018-10-19,"Gray",FALSE,FALSE,FALSE,FALSE,16
"314",2018-10-19,"Gray",FALSE,FALSE,FALSE,TRUE,39
"315",2018-10-19,"Gray",FALSE,FALSE,TRUE,FALSE,11
"316",2018-10-19,"Gray",FALSE,FALSE,TRUE,TRUE,9
"317",2018-10-19,"Gray",FALSE,TRUE,FALSE,FALSE,18
"318",2018-10-19,"Gray",FALSE,TRUE,FALSE,TRUE,3
"319",2018-10-19,"Gray",FALSE,TRUE,TRUE,FALSE,3
"320",2018-10-19,"Gray",FALSE,TRUE,TRUE,TRUE,1
"321",2018-10-19,"Gray",TRUE,FALSE,FALSE,FALSE,24
"322",2018-10-19,"Gray",TRUE,FALSE,FALSE,TRUE,5
"323",2018-10-19,"Gray",TRUE,FALSE,TRUE,FALSE,3
"324",2018-10-19,"Gray",TRUE,FALSE,TRUE,TRUE,2
"325",2018-10-19,"Gray",TRUE,TRUE,FALSE,FALSE,3
"326",2018-10-19,"Gray",TRUE,TRUE,TRUE,FALSE,2
"327",2018-10-19,"Gray",TRUE,TRUE,TRUE,TRUE,1
"328",2018-10-19,"Unknown",FALSE,FALSE,FALSE,FALSE,6
"329",2018-10-20,"Black",FALSE,FALSE,TRUE,FALSE,1
"330",2018-10-20,"Cinnamon",FALSE,FALSE,FALSE,FALSE,2
"331",2018-10-20,"Cinnamon",FALSE,FALSE,FALSE,TRUE,3
"332",2018-10-20,"Cinnamon",TRUE,FALSE,FALSE,FALSE,1
"333",2018-10-20,"Cinnamon",TRUE,FALSE,TRUE,FALSE,1
"334",2018-10-20,"Gray",FALSE,FALSE,FALSE,FALSE,9
"335",2018-10-20,"Gray",FALSE,FALSE,FALSE,TRUE,15
"336",2018-10-20,"Gray",FALSE,FALSE,TRUE,FALSE,9
"337",2018-10-20,"Gray",FALSE,FALSE,TRUE,TRUE,3
"338",2018-10-20,"Gray",FALSE,TRUE,FALSE,FALSE,7
"339",2018-10-20,"Gray",FALSE,TRUE,FALSE,TRUE,2
"340",2018-10-20,"Gray",FALSE,TRUE,TRUE,FALSE,1
"341",2018-10-20,"Gray",TRUE,FALSE,FALSE,FALSE,10
"342",2018-10-20,"Gray",TRUE,FALSE,TRUE,FALSE,1
"343",2018-10-20,"Unknown",FALSE,FALSE,FALSE,TRUE,1
"344",2018-10-20,"Unknown",FALSE,TRUE,FALSE,FALSE,1
